SourceID,RegistryID,CWPName,CWPStreet,CWPCity,CWPState,CWPFacilityTypeIndicator,CWPMajorMinorStatusFlag,CWPQtrsInNC,CWPCurrentViol,FacLat,FacLong,FacMapFlg,FacMapIcon,CWPE90Cnt,CWPFormalEaCnt,CWPDaysLastInspection,RadWBDHuc12,FacDerivedWBD,PollInViolation,DmrPounds,DFR URL
MI0020125,110000733118,GOGEBIC-IRON WW AUTHORITY WWTP,700 WEST CLOVERLAND DRIVE,IRONWOOD,MI,POTW,M,9,Yes,46.463373,-90.183599,Y,CWA-NC-MJ-1.png,7,,226,40103020107,40103020107,"Chlorine|Coliform, fecal general|Solids, suspended percent removal",81368.65972,
MN0049786,110008697400,WESTERN LAKE SUPERIOR WWTF,2626 COURTLAND STREET,DULUTH,MN,POTW,M,1,Yes,46.75889,-92.12658,Y,CWA-NC-MJ-2.png,40,,425,40102011604,,"Mercury|Solids, suspended percent removal|Solids, total suspended",162977829.8,
WI0000531,110000421151,ST PAPER LLC,106 E CENTRAL AVE,OCONTO,WI,NON-POTW,M,4,No,44.873593,-88.14389,Y,CWA-IC-MJ-1.png,4,,256,40301040505,,"BOD, 5-day, 20 deg. C|Solids, total suspended",607604.2954,
WI0000540,110000420900,KIMBERLY CLARK CORPORATION MARINETTE,3120 RIVERSIDE AVE,MARINETTE,WI,NON-POTW,M,1,No,45.10477,-87.64984,Y,CWA-IC-MJ-3.png,,,1056,40301080913,,,380908.1301,
WI0000698,110017418846,NEWPAGE WI SYSTEMS INC KIMBERL,433 NORTH MAIN STREET,KIMBERLY,WI,NON-POTW,M,1,No,44.27632,-88.33441,Y,CWA-IC-MJ-G.png,,,2424,40302040205,,,0,
WI0000825,110064619756,"EXPERA SPECIALTY SOLUTIONS, LLC THILMANY MILL",600 THILMANY RD,KAUKAUNA,WI,NON-POTW,M,1,No,44.28093,-88.2625,Y,CWA-IC-MJ-2.png,1,,544,40302040205,,"Solids, total suspended",2247826.8,
WI0000931,110000419299,WISCONSIN ELECTRIC POWER COMPANY VALLEY POWER PLANT,1035 WEST CANAL STREET,MILWAUKEE COUNTY,WI,NON-POTW,M,3,No,43.030366,-87.919805,Y,CWA-IC-MJ-2.png,3,,731,40400030405,40400030405,Chlorine|Phosphorus,29366.34248,
WI0000957,110002433304,NEXTERA ENERGY POINT BEACH LLC,6610 NUCLEAR ROAD,TWO RIVERS,WI,NON-POTW,M,3,No,44.26942,-87.54045,Y,CWA-IC-MJ-3.png,3,,1089,40301010101,,"BOD, 5-day, 20 deg. C|Solids, total suspended",5774.588436,
WI0000973,110000421464,GREEN BAY PACKAGING INC MILL D,1601 N QUINCY ST,GREEN BAY,WI,NON-POTW,M,1,No,44.52666,-87.99876,Y,CWA-IC-MJ-3.png,1,,776,40302040405,,pH,85457.18684,
WI0000990,110017419523,"APPLETON COATED LLC, COMBINED LOCKS MILL",540 PROSPECT ST,COMBINED LOCKS,WI,NON-POTW,M,1,No,44.269643,-88.308421,Y,CWA-IC-MJ-4.png,1,,1123,40302040205,40302040205,"Solids, total suspended",869219.6887,
WI0001040,110056962032,TYCO SAFETY PRODUCTS - ANSUL,ONE STANTON ST,MARINETTE,WI,NON-POTW,M,4,No,45.09713,-87.61406,Y,CWA-IC-MJ-1.png,6,,66,40301080913,,"Arsenic|Solids, total suspended|pH",1333.90657,
WI0001589,110000416871,WI POWER & LIGHT EDGEWATER STN,3739 LAKESHORE DR,SHEBOYGAN,WI,NON-POTW,M,1,No,43.71559,-87.70773,Y,CWA-IC-MJ-3.png,,,885,40301011109,40301011109,,229428.3054,
WI0001848,110013863275,GEORGIA-PACIFIC CONSUMER PRODUCTS,1919 S BROADWAY,GREEN BAY,WI,NON-POTW,M,3,No,44.4925,-88.0323,Y,CWA-IC-MJ-2.png,3,,724,40302040405,40302040405,Copper,122088.2314,
WI0002810,110064642392,PACKAGING CORP OF AMERICA,N9090 COUNTY HWY E,TOMAHAWK,WI,NON-POTW,M,1,No,45.44375,-89.733917,Y,CWA-IC-MJ-2.png,,,640,70700011306,70700011306,,1724176.396,
WI0003026,110000422383,"EXPERA SPECIALTY SOLUTIONS, LLC-RHINELANDER",515 W DAVENPORT AVENUE,RHINELANDER,WI,NON-POTW,M,2,No,45.6391,-89.421,Y,CWA-IC-MJ-2.png,1,,388,70700011302,70700011302,"pH range excursions, > 60 minutes",1191052.961,
WI0003077,110000422748,CASCADES TISSUE GROUP WISC INC,1200 FOREST ST,EAU CLAIRE,WI,NON-POTW,M,1,No,44.828889,-91.509167,Y,CWA-IC-MJ-1.png,,,262,70500050502,,,114065.6069
WI0003085,110000422962,CALUMET SUPERIOR LLC,2407 STINSON AVENUE,SUPERIOR,WI,NON-POTW,M,5,Yes,46.6915,-92.072,Y,CWA-NC-MJ-5.png,4,,1607,40102011604,40102011604,"Mercury|Oil and grease|Solids, total suspended",450178.453
WI0003204,110000422908,"CELLU TISSUE - CITY FOREST, LLC DBA CLEARWATER PAPER","1215 EAST WORDEN AVENUE, LADYSMITH, WISCONSIN",LADYSMITH,WI,NON-POTW,M,2,Yes,45.46343,-91.08877,Y,CWA-NC-MJ-1.png,,,307,70500020703,,,225087.6924
WI0003212,110000422392,FLAMBEAU RIVER PAPERS LLC,200 NORTH FIRST AVENUE,PARK FALLS,WI,NON-POTW,M,2,No,45.93657,-90.44776,Y,CWA-IC-MJ-3.png,1,,810,70500020503,,"Solids, total suspended",831082.4268
WI0003239,110000422597,DAIRYLAND POWER COOPERATIVE GENOA,S4651 STATE ROAD 35,GENOA,WI,NON-POTW,M,1,No,43.559135,-91.231677,Y,CWA-IC-MJ-3.png,1,,741,70600010505,70600010505,"Solids, total suspended",4773.286033
WI0003468,110000422249,VERSO MINNESOTA WISCONSIN LLC - WATER RENEWAL CENTER,"2690 W. RIVER DR./707 ARLINGTON PL., STEVENS POINT",STEVENS POINT,WI,NON-POTW,M,2,No,44.486243,-89.582534,Y,CWA-IC-MJ-5.png,1,,1693,70700030304,70700030304,pH,298070.9244
WI0003565,110000594198,ERCO WORLDWIDE (USA) INC - PORT EDWARDS,101 HIGHWAY 73 SOUTH,PORT EDWARDS,WI,NON-POTW,M,5,No,44.3381,-89.8871,Y,CWA-IC-MJ-3.png,8,,788,70700030704,70700030704,pH,7521652.731
WI0003611,110000850945,NEENAH PAPER INC WHITING MILL,3243 WHITING RD,WHITING,WI,NON-POTW,M,1,No,44.48188,-89.56839,Y,CWA-IC-MJ-1.png,,,234,70700030104,,,33170.26546
WI0003620,110064253196,DOMTAR - NEKOOSA,"NW 1/4 OF SECTION 2, TOWN OF SARATOGA",NEKOOSA,WI,NON-POTW,M,3,No,44.31225,-89.898111,Y,CWA-IC-MJ-1.png,2,,331,70700030704,,"Temperature, water deg. fahrenheit|pH",3147178.38
WI0003671,110000422043,"EXPERA SPECIALTY SOLUTIONS, LLC-MOSINEE",HIGHWAY 153 EAST,MOSINEE,WI,NON-POTW,M,3,No,44.791101,-89.700253,Y,CWA-IC-MJ-2.png,4,,598,70700021807,70700021807,"BOD, 5-day, 20 deg. C|Solids, total suspended|pH range excursions, > 60 minutes|pH range excursions, monthly total accum",880777.1402
WI0020001,110002120829,WHITEWATER CITY WWTF,CTH U,WHITEWATER,WI,POTW,M,1,No,42.855258,-88.717814,Y,CWA-IC-MJ-2.png,,,661,70900020203,,,11993.95353
WI0020044,110005467119,RHINELANDER CITY OF,"2775 HIGHWAY 17 SOUTH, RHINELANDER, WISCONSIN",RHINELANDER,WI,POTW,M,4,Yes,45.62981,-89.42346,Y,CWA-NC-MJ-1.png,3,,326,70700011302,,"Solids, total suspended|pH",806016.9745
WI0020109,110039975658,RICHLAND CENTER WASTEWATER TREATMENT FAC,"590 SOUTH ORANGE STREET, RICHLAND CENTER, WISCONSI",RICHLAND CENTER,WI,POTW,M,9,No,43.33098,-90.38575,Y,CWA-IC-MJ-2.png,37,,397,70700051107,,"Ammonia|BOD, 5-day, 20 deg. C|Phosphorus",0
WI0020150,110002051494,MERRILL CITY OF,"2606 STURDEVANT STREET, MERRILL, WISCONSIN",MERRILL,WI,POTW,M,4,No,45.179038,-89.661799,Y,CWA-IC-MJ-1.png,4,,72,70700021401,,"Chlorine|Phosphorus|Solids, total suspended",0
WI0020184,110000875349,GRAFTON VILLAGE WATER & WASTEWATER UTILITY,"1900 9TH AVENUE, GRAFTON WI",GRAFTON,WI,POTW,M,1,No,43.310764,-87.95574,Y,CWA-IC-MJ-1.png,,,66,40400030603,40400030603,,0
WI0020192,110000880752,HARTFORD WATER POLLUTION CONTROL FACILITY,1600 LIBERTY AVE,HARTFORD,WI,POTW,M,1,No,43.3299,-88.41101,Y,CWA-IC-MJ-1.png,,,234,70900010302,,,3400762.8
