WI0000531,110000421151,ST PAPER LLC,106 E CENTRAL AVE,OCONTO,WI,Noncompliance,5,Yes,3,44.8736,-88.1439,Y,"BOD, 5-day, 20 deg. C|Solids, total suspended"
WI0000540,110000420900,KIMBERLY CLARK CORP MARINETTE,3120 RIVERSIDE DR,MARINETTE,WI,Noncompliance,2,Yes,1,45.1048,-87.6498,Y,
WI0000680,110005427323,CELLU TISSUE CORPORATION NEENAH,249 N LAKE ST,NEENAH,WI,Noncompliance,1,Yes,2,44.1940,-88.4753,Y,
WI0000698,110017418846,NEWPAGE WI SYSTEMS INC KIMBERL,433 NORTH MAIN STREET,KIMBERLY,WI,Noncompliance,1,Yes,,44.2763,-88.3344,Y,
WI0000825,110064619756,EXPERA SPECIALTY SOLUTIONS LLC KAUKAUNA,600 THILMANY ROAD,KAUKAUNA,WI,Significant Violation,2,Yes,2,44.2813,-88.2627,Y,"Solids, total suspended"
WI0000922,110043810276,WI ELECTRIC POWER CO PORT WASH,146 S WISCONSIN ST,PORT WASHINGTON,WI,Noncompliance,2,Yes,2,43.3845,-87.8697,Y,pH
WI0000931,110000419299,WI ELECTRIC POWER CO VALLEY PO,1035 W CANAL ST,MILWAUKEE,WI,Noncompliance,7,Yes,5,43.0304,-87.9198,Y,Chlorine|Mercury|Phosphorus|pH
WI0000957,110002433304,NEXTERA ENERGY POINT BEACH LLC,6610 NUCLEAR RD,TWO RIVERS,WI,Noncompliance,5,Yes,1,44.2694,-87.5405,Y,"BOD, 5-day, 20 deg. C|Solids, total suspended"
WI0000965,110000421534,WI PUBLIC SERVICE CORP PULLIAM,BYLSBY AVE,GREEN BAY,WI,Significant Violation,4,Yes,2,44.5408,-88.0117,Y,pH
WI0000973,110000421464,GREEN BAY PACKAGING INC MILL D,1601 N QUINCY ST,GREEN BAY,WI,Noncompliance,2,Yes,2,44.5267,-87.9988,Y,pH
WI0001031,110043810043,PROCTER AND GAMBLE PAPER PRODU,501 EASTMAN AVE,GREEN BAY,WI,Significant Violation,2,Yes,1,44.5241,-88.0031,Y,Chlorine
WI0001040,110056962032,TYCO SAFETY PRODUCTS - ANSUL,ONE STANTON ST,MARINETTE,WI,Noncompliance,4,Yes,3,45.0971,-87.6141,Y,"Solids, total suspended"
WI0001261,110000421614,GEORGIA PACIFIC CONSUMER PROD,500 DAY ST,GREEN BAY,WI,Noncompliance,1,Yes,,44.5203,-88.0054,Y,
WI0001571,110009513810,DOMINION ENERGY KEWAUNEE INC,N490 HWY 42,KEWAUNEE,WI,Noncompliance,1,Yes,1,44.3422,-87.5361,Y,
WI0001848,110013863275,GEORGIA PACIFIC CONSUMER PROD,1919 S BROADWAY,GREEN BAY,WI,Noncompliance,4,Yes,2,44.4925,-88.0323,Y,Copper
WI0002810,110064642392,PACKAGING CORP OF AMERICA,N9090 COUNTY HWY E,TOMAHAWK,WI,Noncompliance,2,Yes,5,45.4438,-89.7339,Y,
WI0002984,110010739362,GRASSLAND DAIRY PRODUCTS,"HWY 98, 3 MI SE OF GRWD",GREENWOOD,WI,Noncompliance,2,Yes,,44.7415,-90.6221,Y,
WI0003026,110000422383,"EXPERA SPECIALTY SOLUTIONS LLC, RHINELANDER",515 W DAVENPORT ST,RHINELANDER,WI,Noncompliance,4,Yes,6,45.6391,-89.4210,Y,
WI0003085,110000422962,CALUMET SUPERIOR LLC,2407 STINSON AVE,SUPERIOR,WI,Noncompliance,7,Yes,1,46.6915,-92.0720,Y,"Oil and grease|Solids, total suspended|pH range excursions, > 60 minutes"
WI0003212,110000422392,FLAMBEAU RIVER PAPERS LLC,200 NORTH FIRST AVE,PARK FALLS,WI,Noncompliance,4,Yes,6,45.9364,-90.4468,Y,"Solids, total suspended"
WI0003239,110000422597,DAIRYLAND POWER CO-OP GENOA,S4651 STATE ROAD 35,GENOA,WI,Significant Violation,4,Yes,1,43.5591,-91.2317,Y,"Solids, total suspended"
WI0003468,110000422249,NEW PAGE WISCONSIN,2690 W RIVER DR,STEVENS POINT,WI,Noncompliance,3,Yes,1,44.4862,-89.5825,Y,"Temperature, water deg. fahrenheit"
WI0003565,110000594198,ERCO WORLDWIDE USA INC PT EDW,101 HWY 73 SOUTH,NEKOOSA,WI,Noncompliance,7,Yes,2,44.3381,-89.8871,Y,pH
WI0003611,110000850945,NEENAH PAPER INC WHITING MILL,3243 WHITING RD,STEVENS POINT,WI,Noncompliance,2,Yes,2,44.4819,-89.5684,Y,
WI0003620,110064253196,DOMTAR,HWY 73 W,PORT EDWARDS,WI,Noncompliance,5,Yes,2,44.3366,-89.8562,Y,"BOD, 5-day, 20 deg. C|Temperature, water deg. fahrenheit|pH"
WI0020001,110002120829,WHITEWATER CITY WWTF,CTH U,WHITEWATER,WI,Noncompliance,4,Yes,3,42.8553,-88.7178,Y,"Solids, total suspended"
WI0020109,110039975658,RICHLAND CENTER CITY WWTF,WEST SOUTH ST,RICHLAND CENTER,WI,Noncompliance,12,Yes,2,43.3311,-90.3903,Y,"Ammonia|BOD, 5-day, 20 deg. C|Phosphorus"
WI0020150,110002051494,MERRILL CITY WWTF,2606 STURDEVANT ST,MERRILL,WI,Noncompliance,6,Yes,5,45.1790,-89.6618,Y,"Chlorine|Phosphorus|Solids, total suspended"
WI0020184,110000875349,GRAFTON WATER & WASTEWATER UT,1900 9TH AVE,GRAFTON,WI,Noncompliance,2,Yes,2,43.3108,-87.9557,Y,
WI0020192,110000880752,HARTFORD WATER POLLUTION CTRL,1600 LIBERTY AVE,HARTFORD,WI,Noncompliance,2,Yes,3,43.3318,-88.4121,Y,
WI0020273,110010889887,MARATHON WATER & SEWER DEPT,MARATHON STP,MARATHON,WI,Noncompliance,3,Yes,2,44.9346,-89.8349,Y,
WI0020281,110010889896,MOUNT HOREB WWTF,2247 SAND ROCK RD,MOUNT HOREB,WI,Noncompliance,1,Yes,3,42.9773,-89.7355,Y,
WI0020338,110000875429,STOUGHTON CITY WWTF,700 MANDT PARKWAY,STOUGHTON,WI,Noncompliance,2,Yes,3,42.9102,-89.2149,Y,
WI0020362,110000737800,MONROE CITY WWTF,1224 10TH AVE W,MONROE,WI,Noncompliance,7,Yes,4,42.5994,-89.6680,Y,Ammonia|Chlorine
WI0020427,110039973785,PORTAGE CITY WWTF,309 W WASHINGTON ST,PORTAGE,WI,Noncompliance,2,Yes,3,43.5387,-89.4500,Y,
WI0020478,110002321167,SUN PRAIRIE CITY WWTF,3040 BAILEY RD,SUN PRAIRIE,WI,Noncompliance,3,Yes,3,43.1555,-89.2404,Y,"Ammonia|BOD, 5-day, 20 deg. C"
WI0020559,110002321176,SUSSEX VILLAGE WWTF,N59 W23551 CLOVER DR,SUSSEX,WI,Noncompliance,10,Yes,2,43.1253,-88.2173,Y,Chloride
WI0020737,110005490762,SPARTA CITY WWTF,805 RICHGRUBER RD,SPARTA,WI,Noncompliance,3,Yes,3,43.9367,-90.8169,Y,Ammonia
WI0021008,110039966739,COLUMBUS CITY WWTF,537 RIVER RD,COLUMBUS,WI,Noncompliance,4,Yes,2,43.3284,-89.0089,Y,
WI0021016,110039717312,DARLINGTON WASTEWATER TREATMEN,523 E ANN STREET,DARLINGTON,WI,Noncompliance,7,Yes,4,42.6798,-90.1068,Y,
WI0021024,110002049177,MARSHFIELD CITY WWTF,3411 S GALVIN AVE,MARSHFIELD,WI,Noncompliance,6,Yes,2,44.6415,-90.1405,Y,"BOD, carbonaceous [5 day, 5 C]|Copper|Phosphorus"
WI0021032,110039975827,RIPON CITY WWTF,ASPEN ST,RIPON,WI,Noncompliance,5,Yes,6,43.8526,-88.8538,Y,"BOD, 5-day, 20 deg. C"
WI0021181,110002050182,OCONOMOWOC CITY WWTF,900 S WORTHINGTON ST,OCONOMOWOC,WI,Noncompliance,10,Yes,4,43.0998,-88.5038,Y,"BOD, 5-day, 20 deg. C|Chloride|Solids, total suspended"
WI0021555,110010889440,SAUKVILLE SEWER UTILITY,1600 COTTONTAIL DR,SAUKVILLE,WI,Noncompliance,2,Yes,4,43.3752,-87.9392,Y,
WI0021709,110010888879,ORFORDVILLE WASTEWATER TREATME,702 WEST BRODHEAD ROAD,ORFORDVILLE,WI,Noncompliance,1,Yes,3,42.6297,-89.2660,Y,
WI0021806,110010888968,JACKSON SEWAGE TREATMENT PLANT,W194 N16658 EAGLE DR,JACKSON,WI,Noncompliance,5,Yes,3,43.3209,-88.1501,Y,Ammonia|Phosphorus
WI0021865,110000736124,RICE LAKE CITY WWTF,1112 S WISCONSIN AVE,RICE LAKE,WI,Noncompliance,8,Yes,3,45.4886,-91.7489,Y,"BOD, carbonaceous [5 day, 5 C]|Chlorine|Coliform, fecal general|Phosphorus|Solids, total suspended"
WI0022144,110039957990,ANTIGO CITY SPRINGBROOK FACILI,N2420 KOSZAREK ROAD,ANTIGO,WI,Noncompliance,3,Yes,5,45.1147,-89.1645,Y,pH
WI0022292,110010888600,SOUTH WAYNE WWTF,STATE HWY 11,SOUTH WAYNE,WI,Noncompliance,2,Yes,3,42.5729,-89.8679,Y,
WI0022306,110010888619,MONTREAL WASTEWATER TREATMENT,PLANT STREET,MONTREAL,WI,Noncompliance,1,Yes,3,46.4313,-90.2307,Y,
WI0022489,110002050119,FORT ATKINSON CITY WWTF,1600 FARMCO LANE,FORT ATKINSON,WI,Noncompliance,2,Yes,3,42.9054,-88.8664,Y,"BOD, 5-day, 20 deg. C"
WI0022675,110039715984,WASHBURN WASTEWATER TREATMENT,SOUTH 10TH AVENUE WEST,WASHBURN,WI,Noncompliance,1,Yes,4,46.6611,-90.9092,Y,
WI0022772,110002050306,WAUPUN CITY WWTF,501 N FOND DU LAC ST,WAUPUN,WI,Significant Violation,2,Yes,3,43.6417,-88.7193,Y,
WI0023141,110005527769,ABBOTSFORD STP,504 E LINDEN ST,ABBOTSFORD,WI,Noncompliance,4,Yes,1,44.9424,-90.3109,Y,
