source_id,registry_id,cwp_name,cwp_street,cwp_city,cwp_state,cwp_status,cwp_current_snc_status,cwp_qtrs_in_nc,cwp_inspection_count,fac_lat,fac_long,poll_in_violation,dmr_pounds,dmr_twpe
WI0000931,1.10E+11,WI ELECTRIC POWER CO VALLEY PO,1035 W CANAL ST,MILWAUKEE,WI,Noncompliance,,7,5,43.0304,-87.9198,Chlorine|Mercury|Phosphorus|pH,36203.53566,95.76606108
WI0000957,1.10E+11,NEXTERA ENERGY POINT BEACH LLC,6610 NUCLEAR RD,TWO RIVERS,WI,Noncompliance,,3,1,44.2694,-87.5405,"BOD, 5-day, 20 deg. C|Solids, total suspended",6153.808667,8.983375
WI0001848,1.10E+11,GEORGIA PACIFIC CONSUMER PROD,1919 S BROADWAY,GREEN BAY,WI,Noncompliance,,3,2,44.4925,-88.0323,Copper,108175.6906,742.6542531
WI0003085,1.10E+11,CALUMET SUPERIOR LLC,2407 STINSON AVE,SUPERIOR,WI,Noncompliance,,6,1,46.6915,-92.072,"Oil and grease|Solids, total suspended|pH range excursions, > 60 minutes",487474.0162,10.53044883
WI0003239,1.10E+11,DAIRYLAND POWER CO-OP GENOA,S4651 STATE ROAD 35,GENOA,WI,Noncompliance,,3,1,43.5591,-91.2317,"Solids, total suspended",0.597919863,70.02239516
WI0003565,1.10E+11,ERCO WORLDWIDE USA INC PT EDW,101 HWY 73 SOUTH,NEKOOSA,WI,Noncompliance,,7,2,44.3381,-89.8871,pH,5982911.047,160.8672219
WI0003620,1.10E+11,DOMTAR,HWY 73 W,PORT EDWARDS,WI,Noncompliance,,5,2,44.3366,-89.8562,"BOD, 5-day, 20 deg. C|Temperature, water deg. fahrenheit|pH",2759870.781,122.285107
WI0003671,1.10E+11,WAUSAU PAPER SPECIALTY PRODUCT,HIGHWAY 153 EAST,MOSINEE,WI,Noncompliance,,3,4,44.7911,-89.7003,"BOD, 5-day, 20 deg. C|Solids, total suspended|pH range excursions, > 60 minutes|pH range excursions, monthly total accum",1450657.264,0
WI0020109,1.10E+11,RICHLAND CENTER CITY WWTF,WEST SOUTH ST,RICHLAND CENTER,WI,Significant Violation,E(EffViol),12,2,43.3311,-90.3903,"Ammonia|BOD, 5-day, 20 deg. C|Phosphorus",0,0
WI0020478,1.10E+11,SUN PRAIRIE CITY WWTF,3040 BAILEY RD,SUN PRAIRIE,WI,Noncompliance,,2,4,43.1555,-89.2404,"Ammonia|BOD, 5-day, 20 deg. C",3716281.629,93.10091186
WI0020559,1.10E+11,SUSSEX VILLAGE WWTF,N59 W23551 CLOVER DR,SUSSEX,WI,Noncompliance,,10,2,43.1253,-88.2173,Chloride,2532980.471,61.34820339
WI0021181,1.10E+11,OCONOMOWOC CITY WWTF,900 S WORTHINGTON ST,OCONOMOWOC,WI,Noncompliance,,11,4,43.0998,-88.5038,"BOD, 5-day, 20 deg. C|Chloride|Solids, total suspended",29485.2484,0
WI0021865,1.10E+11,RICE LAKE CITY WWTF,1112 S WISCONSIN AVE,RICE LAKE,WI,Noncompliance,,7,3,45.4886,-91.7489,"Chlorine|Coliform, fecal general|Phosphorus|Solids, total suspended",154703.9676,0
WI0022144,1.10E+11,ANTIGO CITY SPRINGBROOK FACILI,N2420 KOSZAREK ROAD,ANTIGO,WI,Noncompliance,,3,5,45.1147,-89.1645,pH,44104.76225,0.317492773
WI0022489,1.10E+11,FORT ATKINSON CITY WWTF,1600 FARMCO LANE,FORT ATKINSON,WI,Noncompliance,,2,3,42.9054,-88.8664,"BOD, 5-day, 20 deg. C",38629.577,0
WI0023469,1.10E+11,BROOKFIELD FOX WATER POLLUTION,21225 ENTERPRISE AVE,BROOKFIELD,WI,Noncompliance,,8,3,43.0529,-88.1753,Chloride|Chlorine|Oxygen,15155511.9,401.6438783
WI0024686,1.10E+11,GRAND CHUTE MENASHA WEST WWTF,1965 W BUTTE DES MORTS RD,NEENAH,WI,Noncompliance,,3,8,44.2284,-88.465,"Solids, total suspended",276809.0199,87.09675858
WI0025763,1.10E+11,WEST BEND CITY WWTF,512 MUNICIPAL DR,WEST BEND,WI,Noncompliance,,12,0,43.4199,-88.1482,Chloride,0,0
WI0026042,1.10E+11,DOMTAR PAPER CO INC,BUSINESS HWY 51 SOUTH,ROTHSCHILD,WI,Noncompliance,,1,3,44.8919,-89.6247,Chlorine,1181796.46,77.91684556
WI0027995,1.10E+11,PLOVER VILLAGE OF,4496 COOLIDGE AVE,PLOVER,WI,Noncompliance,,4,3,44.4569,-89.5892,"Mercury|Solids, total suspended",1754.4667,0
WI0029807,1.10E+11,MIDWEST NEUROLOGICAL REHAB CEN,STH 20 & SHARP ROAD,WATERFORD,WI,Noncompliance,,1,2,42.7382,-88.1674,,,
WI0031194,1.10E+11,LAKE MILLS CITY WWTF,MARINE ROAD,LAKE MILLS,WI,Noncompliance,,5,4,43.0809,-88.8963,"BOD, 5-day, 20 deg. C|Solids, total suspended",25655.0208,0
WI0036021,1.10E+11,FONTANA WALWORTH WPCC WWTF,N840 CHILSON RD,FONTANA,WI,Noncompliance,,5,4,42.5217,-88.6635,"Ammonia|Chloride|Solids, total suspended",1551134.664,41.75201796
WI0036188,1.10E+11,STOCKBRIDGE-MUNSEE INDIAN TR,W13817 COUNTY HWY A,BOWLER,WI,Noncompliance,,12,0,44.9032,-88.9275,Ammonia|Oxygen,7784.654768,0.034684329
WI0036544,1.10E+11,BAD RIVER BAND,P.O. BOX 39,ODANAH,WI,Noncompliance,,10,2,,,,5059.72194,0.046200586
WI0036579,1.10E+11,BAD RIVER INDIAN RESERVATION,P.O. BOX 39,BIRCH HILL,WI,Noncompliance,,10,3,46.513,-90.556,"BOD, 5-day, 20 deg. C|BOD, 5-day, percent removal|E. coli|Oxygen|Solids, suspended percent removal",15533.20369,1.935442053
WI0036587,1.10E+11,BAD RIVER BAND,P.O. BOX 39,ODANAH,WI,Noncompliance,,12,3,,,"BOD, 5-day, 20 deg. C|BOD, 5-day, percent removal|E. coli|Oxygen|Phosphorus|Solids, suspended percent removal|Solids, total suspended|pH",10334.35434,0.312790184
WI0037311,1.10E+11,"HEIM CHEESE CO INC, (LEBANON P",NWQ NEQ SEC 17 T9N R15E,WATERTOWN,WI,Noncompliance,,1,0,43.2553,-88.6255,,,
WI0037842,1.10E+11,NEENAH PAPER INC NEENAH MILL,135 N COMMERCIAL ST,NEENAH,WI,Noncompliance,,3,3,44.1878,-88.459,Copper,102476.0169,39.34631545
WI0037991,1.10E+11,NEWPAGE CORP WATER QUAL CTR,2811 FIFTH AVE NORTH,WISCONSIN RAPIDS,WI,Noncompliance,,6,2,44.4233,-89.8317,Chlorine,7371043.435,2247.605491
WI0046868,1.10E+11,MENOMINEE TRIBAL ENTERPRISE,P.O. BOX 10,NEOPIT,WI,Noncompliance,,4,0,,,pH,1711.642064,0.087644631
WI0049727,1.10E+11,RED CLIFF BAND WWTF,88385 PIKE ROAD,BAYFIELD,WI,Significant Violation,E(EffViol),11,0,46.8508,-90.7909,"E. coli|Mercury|Phosphorus|Solids, suspended percent removal",3888.585842,1936.503336
WI0058424,1.10E+11,FOREST COUNTY POTAWATOMI COMM.,P.O. BOX 340,CRANDON,WI,Significant Violation,S(CSchVio),12,1,,,"BOD, carb-5 day, 20 deg C, percent removal|BOD, carbonaceous [5 day, 20 C]|Solids, suspended percent removal|Solids, total suspended|pH",1690.813921,0.501976916
WI0058432,1.10E+11,FOREST COUNTY POTAWATOMI COMM.,P.O. BOX 340,CRANDON,WI,Noncompliance,,12,1,,,"E. coli|Solids, suspended percent removal|pH",2231.717585,1.15865949
WI0059048,1.10E+11,CALAMITY KNOLL FARM,9819 S GUSTAFSON RD,TURTLE TN,WI,Significant Violation,E(EffViol),8,2,42.5356,-88.9141,,,
WI0062847,1.10E+11,ST. CROIX TRIBAL COUNCIL,BIG SAND LAKE/WEST HERTEL WWTF,WEBSTER,WI,Noncompliance,,12,0,45.8107,-92.2053,Copper|E. coli|Oxygen|pH,713.0904575,1.691652223
WI0065196,1.10E+11,KANE FAMILY FARM,4367 LARK ROAD,DENMARK,WI,Significant Violation,S(CSchVio),7,2,44.3132,-87.9096,,,
WI0071307,1.10E+11,WOLF RIVER RANCH WWTF,MENOMINEE INDIAN RESERVATION,SHAWANO COUNTY,WI,Noncompliance,,9,3,,,"Ammonia|BOD, carbonaceous [5 day, 20 C]|Oxygen|Phosphorus|Solids, total suspended",17393.67027,3.094828
WI0071315,1.10E+11,KESHENA WWTF,MENONMINEE INDIAN RESERVATION,KESHENA,WI,Noncompliance,,8,3,,,"Ammonia|Oxygen|Phosphorus|Solids, total suspended",18420.34573,2.873575728
WI0071323,1.10E+11,ONEIDA WWTF,ONEIDA INDIAN RESERVATION,ONEIDA,WI,Noncompliance,,12,0,,,"Phosphorus|Solids, total suspended",2160.748612,0.270977406
WIS065404,1.10E+11,MILWAUKEE DEPT OF PUBLIC WORKS,841 N BROADWAY,MILWAUKEE,WI,Noncompliance,,3,1,43.0418,-87.9089,,,
